Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;2;75;60-69 ans;2010;1200;Trail / Supermotard;False
Homme;1;75;30-39 ans;2009;1200;Roadster;False
Femme;2;35;30-39 ans;2009;600;Roadster;False
Homme;1;22;50-59 ans;2012;1250;Routière / GT;False
Femme;1;33;40-49 ans;2015;700;Roadster;False
Homme;1;33;50-59 ans;2012;1200;Trail / Supermotard;True
Homme;3;18;50-59 ans;2006;1200;Routière / GT;False
Homme;2;13;30-39 ans;1996;850;Routière / GT;False
Homme;1;29;60-69 ans;2017;1200;Trail / Supermotard;False
Femme;2;69;50-59 ans;2007;600;Roadster;False
Homme;1;92;40-49 ans;2013;800;Roadster;False
Homme;1;80;30-39 ans;1986;750;Routière / GT;False
Homme;5;26;60-69 ans;2011;1000;Roadster;False
Homme;4;71;50-59 ans;2018;1000;Trail / Supermotard;False
Homme;2;38;50-59 ans;2000;1300;Roadster;False
Homme;2;28;30-39 ans;2008;675;Sportive;False
Homme;4;26;50-59 ans;2003;1000;Roadster;False
Homme;1;84;50-59 ans;2016;650;Trail / Supermotard;False
Homme;2;91;50-59 ans;2015;1000;Routière / GT;False
Homme;6;26;30-39 ans;1977;650;Roadster;False
Homme;1;75;50-59 ans;2007;750;Scooter;True
Femme;3;85;50-59 ans;2000;1200;Roadster;False
Homme;2;33;40-49 ans;2016;1200;Trail / Supermotard;False
Homme;1;63;50-59 ans;2001;1000;Roadster;False
Homme;2;34;50-59 ans;2003;1000;Roadster;False
Homme;4;17;60-69 ans;1978;1000;Routière / GT;False
Homme;4;34;60-69 ans;1962;50;Roadster;False
Homme;1;62;30-39 ans;2001;500;Roadster;False
Homme;1;25;40-49 ans;2002;650;Roadster;False
Homme;6;60;60-69 ans;2017;850;Roadster;False
Homme;1;95;50-59 ans;2008;650;Roadster;False
Femme;2;24;50-59 ans;2014;800;Roadster;False
Homme;2;6;50-59 ans;2005;600;Roadster;False
Homme;2;42;30-39 ans;2010;650;Roadster;False
Homme;1;60;60-69 ans;2016;1200;Routière / GT;False
Homme;2;97;40-49 ans;2017;530;Scooter;False
Homme;1;72;40-49 ans;2009;1000;Roadster;True
