Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103181394;. . .;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181481;Naturel quotidien obligatoire;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Économie budget carburant;;;;;;Économie budget carburant;;
103181485;Comme pendant pour le boulot RoadTrip Piste;;;;;;;;;Moins de monde sur les routes ? comportements irrésponsables Attente;;;;;;;;Gain d'économie grâce au télétravail partiel Moins de monde sur les routes Un solidarité nationale trop souvent oubliée;;;;;;Gain d'économie grâce au télétravail partiel Moins de monde sur les routes Un solidarité nationale trop souvent oubliée;;
103181326;liberté renaissance joie;liberté renaissance joie;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181443;balade enfin évasion;;balade enfin évasion;balade enfin évasion;;;;;;Plus de travail et finalement moins de temps libre;;;;;;;;Télétravail;;;;;;;;
103181138;liberté plaisir espoir;liberté plaisir espoir;liberté plaisir espoir;;;;;;;Ne pas pouvoir sortir en moto;;Ne pas pouvoir sortir en moto;;;;;;Moins de pollution en ville,moins de circulation,les rues calmes, le respect des files d'attente;;Moins de pollution en ville,moins de circulation,les rues calmes, le respect des files d'attente;Moins de pollution en ville,moins de circulation,les rues calmes, le respect des files d'attente;Moins de pollution en ville,moins de circulation,les rues calmes, le respect des files d'attente;;;;
103181355;ballade amis biere;;;ballade amis biere;;ballade amis biere;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;se retrouver, lire, bricoler et faire toutes ces choses que je ne pouvais pas faire avant !;;;;;;;;
103181558;bureau ? ?;;;;;;;;;absence de lien social;;;;absence de lien social;;;;Aucun avantage;Aucun avantage;;;;;;;
103181508;enfin ballade sortie;;enfin ballade sortie;enfin ballade sortie;;;;;;les imbéciles qui dévalisent les magasins;;;;;;;;les jeux vidéos;;;;;;;;
103181527;Sortie 100 km Retour normal;;;;;;;;;Inutile;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181567;plaisir tranquilité rapidité;;plaisir tranquilité rapidité;;;;;;;ne voir personne;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181540;rien de changé voyages toujours impossibles rester à la maison;;;;;;;;;Ne plus voir les collègues directement. Ne plus avoir de loisirs ou de voyages.;;;;;;;;Plus de temps de trajet pour aller travailler.;;;Plus de temps de trajet pour aller travailler.;;;;;
103181457;révision révision révision;;;;;;;;;impossible d'échapper aux bruits des outils thermiques du quartier : souffleurs, tondeuses à gazon, débroussailleuses, tronçonneuses et également des perforateurs de chantier...heureusement quelques fois, sauvés par la pluie... Absence de restos avec les copains...;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181479;balade  ;;;balade  ;;;;;;limitation des sorties culturelles;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181625;LIBERTE MENSONGE PRUDENCE;LIBERTE MENSONGE PRUDENCE;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181487;Liberté Sensations Déstresser;Liberté Sensations Déstresser;;;;;;;;Pas de moto;;Pas de moto;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181484;Enfin ! youpee ! merde, il pleut ..;;Enfin ! youpee ! merde, il pleut ..;;;;;;;Pas pouvoir aller trop loin en 2 roues.;;;;;;;;Au moins, au calme !  Moins de pollution, moins de casse-pieds partout.;;;Au moins, au calme !  Moins de pollution, moins de casse-pieds partout.;Au moins, au calme !  Moins de pollution, moins de casse-pieds partout.;;;;
103181511;liberté sortie en moto passion;liberté sortie en moto passion;;liberté sortie en moto passion;;;;;;Devoir faire une attestation de sortie;;;;;;;;Moins de stress;;;Moins de stress;;;;;
103181563;Joie Liberté Ballade;Joie Liberté Ballade;;Joie Liberté Ballade;;;;;;Impossibilité de faire du sport en extérieur;;;;;;;;Passez du temps avec ma famille;;;Passez du temps avec ma famille;;;;;
103181576;rouler réparer réviser;;;rouler réparer réviser;;;;;;"Restriction inutile et improductive des libertés fondamentales, le confinement s'est imposé DU FAIT de l'incurie et de l'impéritie de ceux qui disaient encore fin février que le virus ne passerait pas la frontière. Je me suis retrouvé ""par accident"" confiné à plus de 600 km de chez moi, sans pouvoir revenir !!!";;"Restriction inutile et improductive des libertés fondamentales, le confinement s'est imposé DU FAIT de l'incurie et de l'impéritie de ceux qui disaient encore fin février que le virus ne passerait pas la frontière. Je me suis retrouvé ""par accident"" confiné à plus de 600 km de chez moi, sans pouvoir revenir !!!";;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181655;Liberté Plaisir Passion;Liberté Plaisir Passion;Liberté Plaisir Passion;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181497;Sécurité liberté balades;Sécurité liberté balades;;Sécurité liberté balades;Sécurité liberté balades;;;;;Ne pas pouvoir se déplacer loin pour visiter ses parents, Ne plus faire de réunion en présentiel pour la FFMC 91,;;;;;;;;Le silence :) Le télétravail Moins de stress pour aller au travail, économie en essence;;;Le silence :) Le télétravail Moins de stress pour aller au travail, économie en essence;;;Le silence :) Le télétravail Moins de stress pour aller au travail, économie en essence;;
103181103;Moto gp Ballades Plaisir;;Moto gp Ballades Plaisir;Moto gp Ballades Plaisir;;;;;;En train de vendre ma maison donc plus de visite;;;;;;;;Une reflection globale sur la vie;;;;;;;;
103181271;Liberté balades détente;Liberté balades détente;Liberté balades détente;Liberté balades détente;;;;;;Manque de liberté.;;Manque de liberté.;;;;;;Consommer différemment. Plus d'attention à la nature.;;;;Consommer différemment. Plus d'attention à la nature.;;;;
103181486;Reprise Roulage Moto;;;Reprise Roulage Moto;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Mise à jour de tous les travaux en retard;;;;;;;;
103181591;sanitaire liberté plaisir;sanitaire liberté plaisir;sanitaire liberté plaisir;;;;;;;moins de relation humaine;;;;;;;;L'avantage d'être en famille;;;;;;;;
103181657;sortie moto retrouver les amis bouger;;;sortie moto retrouver les amis bouger;;sortie moto retrouver les amis bouger;;;;Restriction des déplacements;;Restriction des déplacements;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181716;libre vroum gazzz;;;libre vroum gazzz;;;;;;la peur de la maladie;;;;;;;;Découvrir ce que devrait être la vie;;;;;;;;
103181773;balade virée ;;;balade virée ;;;;;;pas soritr;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181488;Attestation Liberté Plaisir;Attestation Liberté Plaisir;Attestation Liberté Plaisir;;;;;;;Le comportement irresponsable de certains citoyens quelques soit son mode de déplacement;;Le comportement irresponsable de certains citoyens quelques soit son mode de déplacement;;;;;;De pouvoir profiter de la routes avec beaucoup moins de circulation..;;De pouvoir profiter de la routes avec beaucoup moins de circulation..;;;;;;
103181630;Ballades Entre copains Pas de foule;;;Ballades Entre copains Pas de foule;;Ballades Entre copains Pas de foule;;;;Ne pas voir enfants et petits enfants;;;;;;;;Bricolage et sport exterieur;;;;;;;;
103181724;Liberté Plaisir Passion;Liberté Plaisir Passion;Liberté Plaisir Passion;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181678;En route !!! Balade Road trip;;;En route !!! Balade Road trip;;;;;;Pa de bars d’ouvert...;;;;;;;;Pas de déplacements en voiture sur lieux de travail;;;;;;;;
103181766;alades picnic sortir;;;;;;;;;limitation des libertés;;limitation des libertés;;;;;;risque sanitaire moindre;;;;;;;;
103181648;Liberté Sensation Bonheur;Liberté Sensation Bonheur;Liberté Sensation Bonheur;;;;;;;Rester enfermé;;Rester enfermé;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181496;Liberté Plaisir Gaaaaz;Liberté Plaisir Gaaaaz;Liberté Plaisir Gaaaaz;;;;;;;Impossibilité de rouler à moto pour le plaisir;;Impossibilité de rouler à moto pour le plaisir;;;;;;Passer plus de temps sur mes rénovations de motos;;;Passer plus de temps sur mes rénovations de motos;;;;;
103181722;Balade Camping ?;;;Balade Camping ?;;;;;;Manque de mobilité;;Manque de mobilité;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181704;VACANCES MOTO CORSE;;;VACANCES MOTO CORSE;;;;;;D'ETRE BLOQUE CHEZ SOI? PLUS DE SPORT  PRISE DE POIDS;;D'ETRE BLOQUE CHEZ SOI? PLUS DE SPORT  PRISE DE POIDS;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181715;1 2 3;;;;;;;;;"Répondre à des sondages mal branlés !!!  Je ne vise personne, mais si vous vous sentez concerné, c'est normal. Pages précédentes, il y a plein de rubriques ou un bouton ""non concerné"" aurait été utile !!!!!";;;;;;;;Ne pas supporter les cons;;;;;;;;
103181729;road trip balde moto liberté;road trip balde moto liberté;;road trip balde moto liberté;;;;;;rester confiné chez soit le week-end et aller travailler dans les autres entreprises pour assurer les dépannages dans les autres départements .;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181627;liberté ballade cool;liberté ballade cool;;liberté ballade cool;;;;;;L'échéance du déconfinement;;;;;;;;Du temps ! Permis de se recentrer sur ce qui est important (famille).;;;Du temps ! Permis de se recentrer sur ce qui est important (famille).;;;;;
103181783;Liberté Décontraction Sociabilité;Liberté Décontraction Sociabilité;;;;;;;;Privé de moto et de liberté;;Privé de moto et de liberté;;;;;;Moins de stress lié au déplacements (bouchons) Vie de famille;;;Moins de stress lié au déplacements (bouchons) Vie de famille;;;;;
103181690;Balade Préparation / customisation Roadtrip;;;Balade Préparation / customisation Roadtrip;;;;;;Garder les enfants Impossibilité de travailler Aucun rapport social Pas de roadtrip;;;;Garder les enfants Impossibilité de travailler Aucun rapport social Pas de roadtrip;;;;Aucun avantage;Aucun avantage;;;;;;;
103181705;enfin haine des charlots d'en haut bien fait de mettre mes batteries sous perf;;enfin haine des charlots d'en haut bien fait de mettre mes batteries sous perf;;;;;;;La quasi impossibilité de rouler;;;;;;;;Le tour et la fraiseuse ont bien tourné;;;;;;;;
103181720;plaisir sérénité changement d'air;;plaisir sérénité changement d'air;;;;;;;Ne pas pouvoir faire de courses en direct;;;;;;;;Pouvoir avance dans les travaux de la nouvelle maison;;;;;;;;
103181865;Liberté Balade V;Liberté Balade V;;Liberté Balade V;;;;;;Enfermement;;Enfermement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181849;Décompression Respirer Liberté;Décompression Respirer Liberté;;;;;;;;Perte de liberté;;Perte de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181901;libre circulation respirer detente;;;;;;;;;pas de repas avec les amis, ni avec la famille. pas de moto loin de nos proches;;pas de repas avec les amis, ni avec la famille. pas de moto loin de nos proches;;pas de repas avec les amis, ni avec la famille. pas de moto loin de nos proches;;;;prendre du temps pour arranger ma maison;;;prendre du temps pour arranger ma maison;;;;;
103181867;balades liberté choix;balades liberté choix;;balades liberté choix;;;;;;Prise de poids;;;;;;;;Reposant;;;Reposant;;;;;
103181578;balades concentres amis;;;balades concentres amis;;balades concentres amis;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181770;Prudence balade liberté;Prudence balade liberté;;Prudence balade liberté;;;;;;On a gaspillé des tonnes de papier pour écrire qu'on sortait. Les plastiques à usage unique qui devaient disparaitre à partir de 2020 vont à nouveau, polluer toute la planète.;;;;;;;;On a laissé la nature en paix, les animaux semblaient plus sereins;;;;On a laissé la nature en paix, les animaux semblaient plus sereins;;;;
103181915;Ouf Enfin dehors;;Ouf Enfin dehors;;;;;;;déplacements compliqués, économie à l'arrêt;;déplacements compliqués, économie à l'arrêt;;;;;;Frein à l'épidémie;;;;;Frein à l'épidémie;;;
103181846;Liberté Enfin! Rouler;Liberté Enfin! Rouler;Liberté Enfin! Rouler;Liberté Enfin! Rouler;;;;;;Sensation de privation de liberté, manque de voir les proches.;;Sensation de privation de liberté, manque de voir les proches.;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181945;Balade Copains Convivialité avec distanciation;;;Balade Copains Convivialité avec distanciation;;Balade Copains Convivialité avec distanciation;;;;Pas sortir comme on veut quand on veut;;Pas sortir comme on veut quand on veut;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181779;Tourisme Balade tranquille Visites villes et petits cafés;;;Tourisme Balade tranquille Visites villes et petits cafés;;;;;;Trop trop restrictif , beaucoup trop d’interdictions et pas assez de bon sens;;;;;;;;Plus de lectures ( Moto , tourisme moto ). Plus de marches;;;;;;;;
103181897;prudence révision progressivité;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181932;Super programme de sortie balade;;;Super programme de sortie balade;;;;;;Impossibilité de faire des balades en moto;;Impossibilité de faire des balades en moto;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181893;Balade Virée Sortie;;;Balade Virée Sortie;;;;;;ne pas voir mes petits enfants physiquement, sinon il y avait WhatsApp !!!;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181953;plaisir balade liberté;plaisir balade liberté;plaisir balade liberté;plaisir balade liberté;;;;;;privation de libertés;;privation de libertés;;;;;;plus de sport en intérieur;;;;;;;;
103181994;remise en route balade révision;;;remise en route balade révision;;;;;;etre confiné, annulation des voyages, des déplacement, plus de contact social, moins de salaire, moins de PQ dans les magasins... la liste peut être longue....;;etre confiné, annulation des voyages, des déplacement, plus de contact social, moins de salaire, moins de PQ dans les magasins... la liste peut être longue....;;etre confiné, annulation des voyages, des déplacement, plus de contact social, moins de salaire, moins de PQ dans les magasins... la liste peut être longue....;;;;avancer sur de l'administratif et des projets perso;;;;;;;;
103181991;liberté sécurité évasion;liberté sécurité évasion;;;liberté sécurité évasion;;;;;Mons d'activités notamment les commerces fermés.;;;;;;;;Moins de monde sur les routes.;;;;;;;;
103181960;Route campagne grand air;;;;;;;;;Enfermer les gens parce que pas de tests et pas de masques;;Enfermer les gens parce que pas de tests et pas de masques;;;;;;Faire reculer le virus;;;;;Faire reculer le virus;;;
103181968;liberté liberté liberté;liberté liberté liberté;;;;;;;;ne pas pouvoir sotir en temps choisi;;;;;;;;temps libre et maitrise de ce temps;;;temps libre et maitrise de ce temps;;;;;
103181133;balade attention remise en route;;;balade attention remise en route;;;;;;enfermement;;enfermement;;;;;;proximité à mes enfants;;;;;;;;
103182082;Rouler balade nature;;;Rouler balade nature;;;;;;Ne pas profiter d'un printemps exceptionnel, surtout en 2 roues motorisé;;Ne pas profiter d'un printemps exceptionnel, surtout en 2 roues motorisé;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181974;Ouf Enfin Libre;;Ouf Enfin Libre;;;;;;;Ça rendait un peu dingue de suivre les différents formulaires dérogatoires à  remplir;;;;;;;;Ça roulait trop bien pour aller bosser 15 mn au lieu de 45 mn;;;;;;;;
103182088;enfin gazzzz potes;;enfin gazzzz potes;enfin gazzzz potes;;;;;;Moins de contacts avec amis;;;;Moins de contacts avec amis;;;;moins de pollution;;;;moins de pollution;;;;
103181590;rouler liberte carpe diem;rouler liberte carpe diem;;rouler liberte carpe diem;;;;;;trop de personnes ont parle sans savoir tres peu d infos sur ce qui se passe dans le monde;;;;;;;;remise a plat dans tout les domaines professionnel social financier laz sante etc;;;;;;;;
103181970;Copain Ballade Plaisir;;Copain Ballade Plaisir;Copain Ballade Plaisir;;Copain Ballade Plaisir;;;;Pas faire de moto;;Pas faire de moto;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181989;liberté frustration incompréhension;liberté frustration incompréhension;;;;;;;;Perte du lien social avec mes collègues Perte de la liberté de se déplacer, peu importe à pied, en vélo, en auto ou moto;;Perte du lien social avec mes collègues Perte de la liberté de se déplacer, peu importe à pied, en vélo, en auto ou moto;;Perte du lien social avec mes collègues Perte de la liberté de se déplacer, peu importe à pied, en vélo, en auto ou moto;;;;Aucun avantage;Aucun avantage;;;;;;;
103181978;Plaisir Liberté Contact;Plaisir Liberté Contact;Plaisir Liberté Contact;;;;;;;Ne pas pouvoir circuler;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181854;je n'ai jamais arrêté de rouler  ;;;je n'ai jamais arrêté de rouler  ;;;;;;#NOM?;;;;;;;;- Economie de dépenses - Carburant moins coûteux - Du temps pour penser à autre chose que le travail - Du temps pour m'instruire et me cultiver - Du temps pour faire plus de sport - Du temps pour faire plus de moto - Mais aussi du temps pour me déplacer autrement - Prendre le temps de faire attention à diverses choses dans monde qui nous entoure;;;- Economie de dépenses - Carburant moins coûteux - Du temps pour penser à autre chose que le travail - Du temps pour m'instruire et me cultiver - Du temps pour faire plus de sport - Du temps pour faire plus de moto - Mais aussi du temps pour me déplacer autrement - Prendre le temps de faire attention à diverses choses dans monde qui nous entoure;;;- Economie de dépenses - Carburant moins coûteux - Du temps pour penser à autre chose que le travail - Du temps pour m'instruire et me cultiver - Du temps pour faire plus de sport - Du temps pour faire plus de moto - Mais aussi du temps pour me déplacer autrement - Prendre le temps de faire attention à diverses choses dans monde qui nous entoure;;
103182106;liberté individuel prudence;liberté individuel prudence;;;;;;;;manque de rencontres conviviales avec amis et collègues;;;;manque de rencontres conviviales avec amis et collègues;;;;gain de temps sur mes trajets domicile-travail, organisation de mon travail comme je l'entends;;;gain de temps sur mes trajets domicile-travail, organisation de mon travail comme je l'entends;;;;;
